patient_index,slice_index,n_annotations,annotation_size_mean,annotation_size_stddev,BCE_loss,TP,FP,TN,FN,MSE_loss,PSNR_loss,C,Sensitivity,Specificity,DICE
LIDC-IDRI-0926,0,,,,9.25115455175e-06,0.0,2.42326760292,262141.59375,0.0,0.000204626281629,36.8903884888,0.6,,0.9999907559683013,0.0
LIDC-IDRI-0926,1,,,,4.00713070121e-05,0.0,10.4033050537,262133.59375,0.0,0.000213699502638,36.7019691467,0.6,,0.9999603145402123,0.0
LIDC-IDRI-0926,2,,,,0.000147126454976,0.0,35.3666915894,262108.640625,0.0,0.000254956510616,35.9353408813,0.6,,0.9998650867820652,0.0
LIDC-IDRI-0926,3,,,,3.74291921617e-05,0.0,9.74115085602,262134.25,0.0,0.000340794504154,34.675075531,0.6,,0.9999628404572111,0.0
LIDC-IDRI-0926,4,,,,2.29984871112e-05,0.0,6.01983070374,262137.984375,0.0,0.000278109451756,35.5578460693,0.6,,0.9999770361686433,0.0
LIDC-IDRI-0926,5,,,,2.11291298911e-05,0.0,5.52753305435,262138.46875,0.0,0.000335672812071,34.7408370972,0.6,,0.9999789141344729,0.0
LIDC-IDRI-0926,6,,,,2.64059162873e-05,0.0,6.91256999969,262137.109375,0.0,0.00022708583856,36.4380989075,0.6,,0.9999736306403312,0.0
LIDC-IDRI-0926,7,,,,0.000145485144458,0.0,35.3086700439,262108.6875,0.0,0.000217993336264,36.6155700684,0.6,,0.9998653081109629,0.0
LIDC-IDRI-0926,8,,,,0.000163675227668,0.0,41.1432418823,262102.84375,0.0,0.00019130736473,37.1826858521,0.6,,0.9998430509799046,0.0
LIDC-IDRI-0926,9,,,,0.000121395583847,0.0,31.5593338013,262112.453125,0.0,0.000256414525211,35.910572052,0.6,,0.9998796107013648,0.0
LIDC-IDRI-0926,10,,,,7.91646671132e-05,0.0,20.6748161316,262123.3125,0.0,0.000334303302225,34.7585945129,0.6,,0.9999211318316195,0.0
LIDC-IDRI-0926,11,,,,3.87258369301e-05,0.0,10.1324710846,262133.875,0.0,0.000258425337961,35.8766479492,0.6,,0.9999613476913611,0.0
LIDC-IDRI-0926,12,,,,1.82591866178e-05,0.0,4.77219200134,262139.21875,0.0,0.000480398943182,33.1839790344,0.6,,0.9999817955315924,0.0
LIDC-IDRI-0926,13,,,,2.06525455724e-05,0.0,5.40469074249,262138.59375,0.0,0.000322028296068,34.9210624695,0.6,,0.9999793827408804,0.0
LIDC-IDRI-0926,14,,,,1.38103278005e-05,0.0,3.6165356636,262140.390625,0.0,0.000444735662313,33.5189819336,0.6,,0.9999862040116698,0.0
LIDC-IDRI-0926,15,,,,4.5620236051e-06,0.0,1.19456982613,262142.796875,0.0,0.000175516412128,37.5568237305,0.6,,0.9999954430776019,0.0
LIDC-IDRI-0926,16,,,,8.51143795444e-06,0.0,2.22943520546,262141.78125,0.0,0.00019910595438,37.0091590881,0.6,,0.9999914953799645,0.0
LIDC-IDRI-0926,17,,,,3.13460950565e-05,0.0,8.17978572845,262135.828125,0.0,0.00035350563121,34.5160369873,0.6,,0.9999687965946898,0.0
LIDC-IDRI-0926,18,,,,0.00172181404196,0.0,308.72668457,261835.28125,0.0,0.000162826385349,37.8827514648,0.6,,0.9988223011961919,0.0
LIDC-IDRI-0926,19,,,,0.00300254183821,0.0,503.605438232,261640.40625,0.0,0.000183623749763,37.3607139587,0.6,,0.9980788977974787,0.0
LIDC-IDRI-0926,20,,,,0.00322046433575,0.0,576.133789062,261567.875,0.0,0.000174479486304,37.5825576782,0.6,,0.9978022240839173,0.0
LIDC-IDRI-0926,21,,,,0.00233058258891,0.0,464.399230957,261679.59375,0.0,0.000181355149834,37.4146995544,0.6,,0.998228457476076,0.0
LIDC-IDRI-0926,22,,,,0.00130335637368,0.0,280.086853027,261863.90625,0.0,0.000190159145859,37.2088279724,0.6,,0.9989315534195097,0.0
LIDC-IDRI-0926,23,,,,0.000122693716548,0.0,31.5845680237,262112.40625,0.0,0.00022330696811,36.5109786987,0.6,,0.9998795144305038,0.0
LIDC-IDRI-0926,24,,,,3.08600501739e-05,0.0,8.07323455811,262135.921875,0.0,0.000211176811717,36.7535400391,0.6,,0.9999692030536319,0.0
LIDC-IDRI-0926,25,,,,1.83140655281e-05,0.0,4.79238986969,262139.21875,0.0,0.000191125058336,37.1868247986,0.6,,0.9999817184842451,0.0
LIDC-IDRI-0926,26,,,,1.22406208902e-05,0.0,3.20272898674,262140.796875,0.0,0.000269445532467,35.6952896118,0.6,,0.9999877825584733,0.0
LIDC-IDRI-0926,27,,,,5.66935113966e-06,0.0,1.48446965218,262142.515625,0.0,0.000218068234972,36.614074707,0.6,,0.9999943371976789,0.0
LIDC-IDRI-0926,28,,,,2.47704883805e-06,0.0,0.64822024107,262143.34375,0.0,0.000170478044311,37.6833152771,0.6,,0.9999975272359432,0.0
LIDC-IDRI-0926,29,,,,1.56176452037e-06,0.0,0.408380895853,262143.578125,0.0,0.000176489120349,37.5328216553,0.6,,0.9999984421504331,0.0
LIDC-IDRI-0926,30,,,,1.69381405613e-06,0.0,0.443018913269,262143.5625,0.0,0.000189487473108,37.2241973877,0.6,,0.9999983100169985,0.0
LIDC-IDRI-0926,31,,,,3.17603962685e-06,0.0,0.831505358219,262143.15625,0.0,0.000180523813469,37.4346580505,0.6,,0.9999968280586354,0.0
LIDC-IDRI-0926,32,4.0,52.75,3.68555739792,0.00267488090321,0.000101113168057,0.75341129303,262090.25,52.9999008179,0.000204405747354,36.8950691223,0.6,1.90779555420598e-06,0.9999971253828509,3.762104461583101e-06
LIDC-IDRI-0926,33,4.0,71.5,7.85281265959,0.003111010883,0.00109758460894,0.431760042906,262070.578125,72.9989089966,0.000195143860765,37.0964508057,0.6,1.5035404246422783e-05,0.999998352507425,2.9893552996114954e-05
