patient_index,slice_index,n_annotations,annotation_size_mean,annotation_size_stddev,BCE_loss,TP,FP,TN,FN,MSE_loss,PSNR_loss,C,Sensitivity,Specificity,DICE
LIDC-IDRI-0926,0,,,,3.05187568301e-05,0.0,7.9942407608,262136.0,0.0,0.000857705075759,30.6666202545,0.9,,0.999969504390959,0.0
LIDC-IDRI-0926,1,,,,4.6625144023e-05,0.0,12.1991128922,262131.796875,0.0,0.000705356243998,31.5159187317,0.9,,0.9999534640766948,0.0
LIDC-IDRI-0926,2,,,,4.35346446466e-05,0.0,11.3803377151,262132.625,0.0,0.00064761727117,31.8868160248,0.9,,0.9999565874577203,0.0
LIDC-IDRI-0926,3,,,,4.43179524154e-05,0.0,11.603228569,262132.390625,0.0,0.000647845328785,31.8852882385,0.9,,0.9999557371946676,0.0
LIDC-IDRI-0926,4,,,,3.74658848159e-05,0.0,9.81356430054,262134.1875,0.0,0.000652404676657,31.8548297882,0.9,,0.9999625642232487,0.0
LIDC-IDRI-0926,5,,,,3.4501128539e-05,0.0,9.03561973572,262134.96875,0.0,0.000673716887832,31.7152252197,0.9,,0.9999655318466755,0.0
LIDC-IDRI-0926,6,,,,4.89267840749e-05,0.0,12.5775289536,262131.421875,0.0,0.000965707411524,30.1515464783,0.9,,0.9999520205345832,0.0
LIDC-IDRI-0926,7,,,,0.00070420576958,0.0,118.471557617,262025.53125,0.0,0.000782782677561,31.0635910034,0.9,,0.9995480668779444,0.0
LIDC-IDRI-0926,8,,,,0.000974287162535,0.0,153.655975342,261990.359375,0.0,0.000754325534217,31.2244129181,0.9,,0.9994138490053392,0.0
LIDC-IDRI-0926,9,,,,0.000188437305042,0.0,43.7304916382,262100.28125,0.0,0.000830173958093,30.8083114624,0.9,,0.9998331814205953,0.0
LIDC-IDRI-0926,10,,,,0.000101774843642,0.0,26.0144119263,262117.96875,0.0,0.00060541840503,32.1794433594,0.9,,0.9999007628875837,0.0
LIDC-IDRI-0926,11,,,,0.000271167431492,0.0,63.4180412292,262080.5625,0.0,0.000685863778926,31.6376209259,0.9,,0.9997580793535741,0.0
LIDC-IDRI-0926,12,,,,2.79438099824e-05,0.0,7.31907320023,262136.6875,0.0,0.00144888495561,28.3896617889,0.9,,0.9999720799521763,0.0
LIDC-IDRI-0926,13,,,,5.7150664361e-05,0.0,14.9657859802,262129.03125,0.0,0.00179386185482,27.4621124268,0.9,,0.9999429100564979,0.0
LIDC-IDRI-0926,14,,,,0.00168198498432,0.0,278.712402344,261865.28125,0.0,0.0021570767276,26.6613464355,0.9,,0.9989367965351377,0.0
LIDC-IDRI-0926,15,,,,1.05759172584e-05,0.0,2.77138352394,262141.234375,0.0,0.000741238764022,31.3004188538,0.9,,0.9999894280110815,0.0
LIDC-IDRI-0926,16,,,,1.32576133183e-05,0.0,3.47402667999,262140.53125,0.0,0.000628943787888,32.0138816833,0.9,,0.9999867476401899,0.0
